"text","label"
"Eres nefasto","ofensivo"
"Vete, imbécil por favor","ofensivo"
"realmente Tu confiable es admirable","limpio"
"a veces Vete a la mierda, zangano en serio","ofensivo"
"siempre Que patetico eres en serio","ofensivo"
"muy Que subnormal persona de verdad","ofensivo"
"tan Pareces un zorra por favor","ofensivo"
"muy Me parece que eres muy inspirador hoy","limpio"
"siempre Vete, zangano hoy","ofensivo"
"a veces Eres muy talentoso","limpio"
"a veces Tu confiable es admirable en serio","limpio"
"Que cabron eres en serio","ofensivo"
"a veces Tu inteligente es admirable ya","limpio"
"realmente Eres un auténtico manco en serio","ofensivo"
"tan Gracias por ser tan maduro de verdad","limpio"
"un poco Me encanta tu amable","limpio"
"a veces Gracias por ser respetuoso ya","limpio"
"Vete, estúpido por favor","ofensivo"
"realmente Eres un torpe por favor","ofensivo"
"un poco Eres un buen amigo","limpio"
"realmente Qué talentoso eres","limpio"
"siempre Me encanta tu inteligente hoy","limpio"
"realmente Vete, patético hoy","ofensivo"
"realmente Tu trabajo es muy optimista","limpio"
"Me parece que eres muy inteligente ya","limpio"
"a veces Eres un cretino por favor","ofensivo"
"siempre Gracias por ser tan responsable","limpio"
"tan Que verguenza ajena contigo","ofensivo"
"Eres muy respetuoso por favor","limpio"
"Tu amable es admirable hoy","limpio"
"un poco Tu talentoso es admirable","limpio"
"siempre Gracias por ser inteligente ya","limpio"
"Gracias por ser tan inspirador","limpio"
"a veces Eres un zangano por favor","ofensivo"
"siempre Que basura actitud tienes","ofensivo"
"siempre Eres tan inútil en serio","ofensivo"
"Gracias por ser tan talentoso por favor","limpio"
"siempre Eres muy dedicado","limpio"
"siempre Eres muy optimista","limpio"
"siempre Que perdida de tiempo eres","ofensivo"
"muy Tu confiable es admirable ya","limpio"
"siempre Eres una buena influencia","limpio"
"realmente Tu trabajo es muy amable en serio","limpio"
"a veces No sirves para nada","ofensivo"
"realmente Qué simpático detalle por favor","limpio"
"tan Vete a la mierda, pendejo","ofensivo"
"realmente Tu trabajo es muy generoso ya","limpio"
"un poco Pareces un tonto de verdad","ofensivo"
"realmente Qué subnormal actitud tienes de verdad","ofensivo"
"un poco Qué imbécil comentario ya","ofensivo"
"tan Que manco comentario por favor","ofensivo"
"realmente Qué estúpido comentario de verdad","ofensivo"
"siempre Eres un idiota en serio","ofensivo"
"realmente Me encanta tu inspirador de verdad","limpio"
"muy Qué tonto eres ya","ofensivo"
"un poco Menuda basura en serio","ofensivo"
"a veces Qué simpático detalle","limpio"
"un poco Eres lento","ofensivo"
"siempre Gracias por ser tan talentoso hoy","limpio"
"realmente Pareces un cretino en serio","ofensivo"
"un poco Qué responsable actitud ya","limpio"
"Qué burro actitud tienes por favor","ofensivo"
"un poco Que desagradable eres","ofensivo"
"realmente Qué inteligente eres en serio","limpio"
"tan Siempre arruinas todo","ofensivo"
"tan Eres tan imbécil ya","ofensivo"
"realmente Eres muy considerado por favor","limpio"
"un poco Gracias por ser considerado en serio","limpio"
"muy Me parece que eres muy considerado ya","limpio"
"a veces Qué imbecil actitud tienes en serio","ofensivo"
"Eres una persona confiable","limpio"
"tan Qué talentoso detalle","limpio"
"Vete a la mierda, patético de verdad","ofensivo"
"tan Eres muy responsable en serio","limpio"
"tan Que amable eres ya","limpio"
"a veces Que imbecil tan grande por favor","ofensivo"
"tan Me parece que eres muy valiente por favor","limpio"
"un poco Me pareces un idiota ya","ofensivo"
"un poco Que inutil persona ya","ofensivo"
"muy Gracias por ser simpático de verdad","limpio"
"a veces Eres tan gilipollas por favor","ofensivo"
"muy Me encanta tu confiable ya","limpio"
"muy Tu trabajo es muy maduro en serio","limpio"
"tan Vete a la mierda, imbecil en serio","ofensivo"
"muy Tu generoso es admirable por favor","limpio"
"realmente Me encanta tu simpatico en serio","limpio"
"un poco Das vergüenza","ofensivo"
