text,label
"Eres un tonto","ofensivo"
"No sirves para nada","ofensivo"
"Eres horrible","ofensivo"
"Qué idiotez has hecho","ofensivo"
"Me caes mal","ofensivo"
"Odio hablar contigo","ofensivo"
"Tu trabajo es pésimo","ofensivo"
"No sabes hacer nada bien","ofensivo"
"Qué inútil eres","ofensivo"
"Tu idea es ridícula","ofensivo"
"Siempre arruinas todo","ofensivo"
"No vales la pena","ofensivo"
"Eres un desastre","ofensivo"
"Deja de molestar","ofensivo"
"Eres un error","ofensivo"
"No te soporto","ofensivo"
"Me enfermas","ofensivo"
"Nadie te quiere","ofensivo"
"Tu opinión no importa","ofensivo"
"Qué tontería dices","ofensivo"
"Eres una molestia","ofensivo"
"Hablas sin pensar","ofensivo"
"Qué persona más desagradable","ofensivo"
"Eres pésimo en esto","ofensivo"
"No hagas nada, siempre lo empeoras","ofensivo"
"Tu comportamiento es estúpido","ofensivo"
"Eres un fracaso","ofensivo"
"Nunca haces algo bien","ofensivo"
"Siempre dices tonterías","ofensivo"
"No tienes cerebro","ofensivo"
"Eres insoportable","ofensivo"
"Qué feo hablas","ofensivo"
"Todo lo haces mal","ofensivo"
"Qué tonto comentario","ofensivo"
"Qué pérdida de tiempo eres","ofensivo"
"Eres lento","ofensivo"
"No te aguanto","ofensivo"
"Tu actitud es asquerosa","ofensivo"
"Pareces un payaso","ofensivo"
"Qué tipo más desagradable","ofensivo"
"Eres una decepción","ofensivo"
"No sirves","ofensivo"
"Nadie te soporta","ofensivo"
"Qué inútil persona","ofensivo"
"Eres un problema","ofensivo"
"Das vergüenza","ofensivo"
"Tu trabajo da pena","ofensivo"
"Qué mala idea la tuya","ofensivo"
"Qué persona más torpe","ofensivo"
"Eres insoportable de verdad","ofensivo"
"Todo te sale mal","ofensivo"
"No tienes remedio","ofensivo"
"Siempre haces el ridículo","ofensivo"
"Eres lo peor","ofensivo"
"Me das asco","ofensivo"
"Qué comentario tan tonto","ofensivo"
"Qué falta de inteligencia","ofensivo"
"Tu existencia molesta","ofensivo"
"Nadie te respeta","ofensivo"
"Eres un payaso","ofensivo"
"Eres desagradable","ofensivo"
"Qué fastidio contigo","ofensivo"
"Qué idiotez acabas de decir","ofensivo"
"Eres una carga","ofensivo"
"Tu voz me molesta","ofensivo"
"Qué ridículo eres","ofensivo"
"Eres inútil para todo","ofensivo"
"Qué barbaridad dijiste","ofensivo"
"Eres nefasto","ofensivo"
"Nadie te toma en serio","ofensivo"
"Eres tan torpe","ofensivo"
"Tu comportamiento apesta","ofensivo"
"Eres cero aporte","ofensivo"
"Qué forma tan tonta de pensar","ofensivo"
"Eres una porquería","ofensivo"
"Qué mala vibra tienes","ofensivo"
"Eres un perdedor","ofensivo"
"No sabes nada","ofensivo"
"Eres un cero a la izquierda","ofensivo"
"Qué feo comentario","ofensivo"
"Tu actitud es pésima","ofensivo"
"Eres tan desagradable","ofensivo"
"No te quiero ver","ofensivo"
"Qué persona tan grosera","ofensivo"
"Eres un caso perdido","ofensivo"
"Eres detestable","ofensivo"
"Qué tipo tan molesto","ofensivo"
"Me caes fatal","ofensivo"
"No te respeto","ofensivo"
"Siempre fracasas","ofensivo"
"Eres un inútil","ofensivo"
"Qué vergüenza ajena contigo","ofensivo"
"Eres una pérdida de tiempo","ofensivo"
"Qué pésimo gusto","ofensivo"
"Eres pésimo","ofensivo"
"Qué desagradable eres","ofensivo"
"Tu forma de ser apesta","ofensivo"
"Siempre arruinas todo","ofensivo"
"No tienes educación","ofensivo"
"Eres antipático","ofensivo"
"Qué tipo tan negativo","ofensivo"
"Eres insoportable","ofensivo"
"No te soporto más","ofensivo"
"Siempre haces el mismo ridículo","ofensivo"
"Qué horrible comentario","ofensivo"
"Eres un mal ejemplo","ofensivo"
"Qué grosero eres","ofensivo"
"Me caes terrible","ofensivo"

"Gracias por tu ayuda","limpio"
"Eres muy amable","limpio"
"Me gusta tu actitud","limpio"
"Haces un gran trabajo","limpio"
"Qué buen día tenemos","limpio"
"Eres una gran persona","limpio"
"Gracias por venir","limpio"
"Qué gusto verte","limpio"
"Tu esfuerzo vale la pena","limpio"
"Buen trabajo","limpio"
"Qué bonita sonrisa","limpio"
"Eres muy inteligente","limpio"
"Qué amable de tu parte","limpio"
"Gracias por tu tiempo","limpio"
"Qué buena idea","limpio"
"Eres muy talentoso","limpio"
"Excelente presentación","limpio"
"Qué buena noticia","limpio"
"Todo te está saliendo bien","limpio"
"Qué gusto saludarte","limpio"
"Eres muy considerado","limpio"
"Te deseo lo mejor","limpio"
"Qué buen desempeño","limpio"
"Gracias por compartir","limpio"
"Eres increíble","limpio"
"Qué buena energía transmites","limpio"
"Eres muy respetuoso","limpio"
"Te aprecio mucho","limpio"
"Buen trabajo en equipo","limpio"
"Qué alegría verte","limpio"
"Eres una persona confiable","limpio"
"Qué gusto escucharte","limpio"
"Excelente actitud","limpio"
"Gracias por el apoyo","limpio"
"Qué bueno verte sonreír","limpio"
"Eres una inspiración","limpio"
"Qué bonito detalle","limpio"
"Eres muy empático","limpio"
"Gracias por tu comprensión","limpio"
"Qué agradable charla","limpio"
"Eres muy responsable","limpio"
"Me alegra verte feliz","limpio"
"Qué amable fuiste","limpio"
"Gracias por estar ahí","limpio"
"Qué persona tan positiva","limpio"
"Eres un gran compañero","limpio"
"Te admiro mucho","limpio"
"Qué buena conversación","limpio"
"Eres muy dedicado","limpio"
"Me alegra tu éxito","limpio"
"Qué bonito gesto","limpio"
"Gracias por tu esfuerzo","limpio"
